Операция 1 выполнена в 2022-09-25 19:57:47.325815, результат: 1Операция 1 выполнена в 2022-09-25 19:58:13.614848, результат: 0Операция 1 выполнена в 2022-09-25 19:59:08.720388, результат: 0
Операция 1 выполнена в 2022-09-25 19:59:54.239361, результат: 1
Операция 1 выполнена в 2022-09-25 20:30:31.258113, результат: 4
Операция 1 выполнена в 2022-09-25 20:30:52.418234, результат: 1
Операция 3 выполнена в 2022-09-25 20:31:06.661283, результат: <function mod3 at 0x000001A4B521B1C0>
Операция 1 выполнена в 2022-09-25 20:32:42.588413, результат: 1
Операция 2 выполнена в 2022-09-25 20:32:50.919329, результат: 1
Операция 1 выполнена в 2022-09-25 20:33:07.595629, результат: 1
Операция 1 выполнена в 2022-09-25 20:51:08.089062, результат: 2
Операция 2 выполнена в 2022-09-25 20:51:29.793329, результат: 0
Операция 1 выполнена в 2022-09-25 20:51:58.522899, результат: 1
Операция 2 выполнена в 2022-09-25 20:52:14.520771, результат: 7
Операция 3 выполнена в 2022-09-25 20:53:05.700537, результат: 15
Операция 1 выполнена в 2022-09-26 08:55:31.923943, результат: 1
Операция 2 выполнена в 2022-09-26 08:57:37.126616, результат: 0
Операция 2 выполнена в 2022-09-26 08:59:10.290254, результат: 0
Операция 1 выполнена в 2022-09-26 08:59:21.543706, результат: 1
Операция 1 выполнена в 2022-09-26 09:00:11.019192, результат: 1
Операция 2 выполнена в 2022-09-26 09:00:23.619179, результат: 0
Операция 1 выполнена в 2022-09-26 09:01:00.414643, результат: 1
Операция 2 выполнена в 2022-09-26 09:01:09.614178, результат: 0
Операция 1 выполнена в 2022-09-26 09:01:27.869570, результат: 3
Операция 2 выполнена в 2022-09-26 09:01:42.314043, результат: 0
Операция 1 выполнена в 2022-09-26 09:01:52.274732, результат: 3
Операция 1 выполнена в 2022-09-26 09:02:14.323297, результат: 3
Операция 1 выполнена в 2022-09-26 09:02:27.790263, результат: 3
Операция 1 выполнена в 2022-09-26 09:03:53.914521, результат: 3
Операция 1 выполнена в 2022-09-26 09:05:22.601146, результат: 3
Операция 2 выполнена в 2022-09-26 09:05:29.597898, результат: 1
Операция 1 выполнена в 2022-09-26 09:06:02.163186, результат: 3
Операция 2 выполнена в 2022-09-26 09:06:58.248007, результат: 4
Операция 4 выполнена в 2022-09-26 09:08:07.303474, результат: Не верно выбрана операция
Операция 1 выполнена в 2022-09-26 09:10:01.147625, результат: 4
Операция 2 выполнена в 2022-09-26 09:10:10.559359, результат: 1
Операция 2 выполнена в 2022-09-26 09:10:49.203848, результат: 0
Операция 1 выполнена в 2022-09-26 09:11:39.762938, результат: 0
Операция 1 выполнена в 2022-09-26 09:13:40.650817, результат: 2
Операция 2 выполнена в 2022-09-26 09:14:15.999345, результат: 4
Операция 1 выполнена в 2022-09-26 09:17:10.003093, результат: 4
Операция 2 выполнена в 2022-09-26 09:17:19.134301, результат: 3
Операция 4 выполнена в 2022-09-26 09:17:37.209141, результат: Не верно выбрана операция
Операция 1 выполнена в 2022-09-26 09:18:50.061213, результат: 4
Операция 1 выполнена в 2022-09-26 09:20:33.295619, результат: 4
Операция 2 выполнена в 2022-09-26 09:20:50.148745, результат: 3
